#Status,Station No.,Station,Water Body,Catchment,River Basin District,Catchment Area,Latitude,Longitude
Level & Flow,26407,Curraghboy,Cross,SHANNON,SHANNON RBD,32.80 km²,53.478241,-8.10817599
Level & Flow,20002,Curranure,BANDON,BANDON,SOUTH WESTERN RBD,431.00 km²,51.76523222,-8.682671667
Level & Flow,34009,Curraughbonaun,OWENGARVE,MOY,WESTERN RBD,117.11 km²,54.01308139,-8.834876667
Level & Flow,14009,Cushina,CUSHINA,BARROW,SOUTH EASTERN RBD,68.00 km²,53.19432139,-7.174493056
Level & Flow,30098,Dangan,CORRIB,CORRIB,WESTERN RBD,3091.00 km²,53.29616944,-9.0765925
Level & Flow,24011,Deel Br,DEEL,SHANNON ESTUARY,SHANNON RBD,281.25 km²,52.44214472,-9.031112778
Level & Flow,26357,Deerpark Bridge,Derrymullan Stream,SUCK,SHANNON RBD,57.25 km²,53.33889,-8.261261
Level & Historic Flow,36013,Derreskit,CULLIES,ERNE,NORTH WESTERN RBD,168.06 km²,54.01275778,-7.558754444
Level & Historic Flow,32013,Derrinkee,DERRYCRAFF,ERRIFF,WESTERN RBD,48.32 km²,53.67494806,-9.546361667
Level,26093,Derry Bay (L. Ree),L.    REE,SHANNON,SHANNON RBD,0.00 km²,53.55610806,-7.849053333
Level & Flow,14007,Derrybrock,STRADBALLY,SUIR,SOUTH EASTERN RBD,115.00 km²,53.03905167,-7.085032222
Level & Flow,26005,Derrycahill,SUCK,SHANNON,SHANNON RBD,1050.00 km²,53.43176389,-8.262761667
Level,26352,Derryholmes d/s,SHANNON,Shannon,SHANNON RBD,6690.02 km²,53.24395994,-7.99395353
Level,26351,Derryholmes u/s,SHANNON,SHANNON,SHANNON RBD,6689.49 km²,53.24801241,-8.0003645
Level & Flow,15003,Dinin Br,DININ,SUIR,SOUTH EASTERN RBD,298.00 km²,52.715345,-7.291780833
Level & Flow,28002,Doonbeg,DOONBEG,DOONBEG,SHANNON RBD,136.00 km²,52.72837278,-9.521525278
Level,27060,Doora Br,FERGUS,SHANNON ESTUARY,SHANNON RBD,608.77 km²,52.83877806,-8.967172222
Level & Flow,18005,Downing Br,FUNSHION,BLACKWATER [MUNSTER],SOUTH WESTERN RBD,378.59 km²,52.16853417,-8.258959722
Level & Flow,19107,Dripsey Bridge,Dripsey,LEE,SOUTH WESTERN RBD,82.17 km²,51.915989,-8.746053
Level & Flow,35011,Dromahair,BONET,GARVOGUE,WESTERN RBD,294.00 km²,54.22705861,-8.299486667
Level,26089,Drumsna,SHANNON,SHANNON,SHANNON RBD,1389.62 km²,53.92314444,-8.008172778
Level & Flow,08011,Duleek D/S,NANNY,NANNY,EASTERN RBD,181.00 km²,53.65618444,-6.407709444
Level & Flow,19116,Dungourney Bridge,Dungourney,Owennacurra,SOUTH WESTERN RBD,21.30 km²,51.967773,-8.09837799
Level & Flow,15005,Durrow Foot Br,ERKINA,NORE,SOUTH EASTERN RBD,379.50 km²,52.84706417,-7.397986667
Level,12061,Edermine Br,SLANEY,SLANEY,SOUTH EASTERN RBD,5.54 km²,52.45409389,-6.562578056
Level & Flow,27066,Ennis Br,FERGUS ESTY,FERGUS,SHANNON RBD,58.32 km²,52.84667389,-8.981789444
Level & Flow,12002,Enniscorthy,SLANEY,SLANEY,SOUTH EASTERN RBD,1319.92 km²,52.50230694,-6.566852222
Level & Flow,28001,Ennistimon,INAGH,INAGH,SHANNON RBD,169.53 km²,52.938687,-9.293853
Level,25340,Fairyhill,STREAM,SHANNON,SHANNON RBD,0.00 km²,53.094038,-8.20259699
Level & Flow,25006,Ferbane,BROSNA,SHANNON,SHANNON RBD,1207.00 km²,53.2699375,-7.828063056
Level & Flow,18107,Fermoy Br D/S,BLACKWATER [MUNSTER],BLACKWATER [MUNSTER],SOUTH WESTERN RBD,1750.00 km²,52.13955054,-8.27539831
Level,18106,Fermoy Br U/S,BLACKWATER [MUNSTER],BLACKWATER [MUNSTER],SOUTH WESTERN RBD,1749.22 km²,52.13856806,-8.276633611
Level,18117,Fermoy Mill,BLACKWATER [MUNSTER],BLACKWATER [MUNSTER],SOUTH WESTERN RBD,1750.18 km²,52.1397198,-8.27195591
Level,18124,Fermoy U/S Rowing,BLACKWATER [MUNSTER],BLACKWATER [MUNSTER],SOUTH WESTERN RBD,1767.00 km²,52.138457,-8.27956099
Level,23061,Ferry Br (Feale),FEALE ESTY,FEALE,SHANNON RBD,1117.00 km²,52.46900083,-9.633367222
Level,24061,Ferry Br (Maigue),MAIGUE ESTUARY,SHANNON,SHANNON RBD,0.00 km²,52.62122556,-8.764818333
Level,12064,Ferrycarrig Br,SLANEY,SLANEY,SOUTH EASTERN RBD,0.00 km²,52.35083694,-6.511451944
Level,19162,Fitzgerald's Park,LEE,LEE,SOUTH WESTERN RBD,1185.00 km²,51.896472,-8.498278
Level & Flow,22006,Flesk Br,FLESK(LAUNE),LAUNE,SOUTH WESTERN RBD,325.00 km²,52.04803417,-9.497946944
Level,36171,Folies Br,L. ERNE UPPER,ERNE,NORTH WESTERN RBD,1520.00 km²,54.1387075,-7.436896111
Level & Historic Flow,35029,Four Masters Br,DROWES,DROWES,WESTERN RBD,104.58 km²,54.459445,-8.260686389
Level & Flow,16013,Fourmilewater,NIRE,SUIR,SOUTH EASTERN RBD,91.00 km²,52.27379944,-7.756046111
